,variety
53398,Bordeaux-style Red Blend
98924,Pinot Noir
84848,Red Blend
99199,Nero d'Avola
116629,Sauvignon Blanc
28508,Bordeaux-style Red Blend
122333,Alvarinho
28375,Bordeaux-style White Blend
68857,Portuguese Red
62032,Sangiovese
42339,Cabernet Sauvignon
128803,Grillo
61796,Chenin Blanc
42448,Muscat
29824,Pinot Noir
120011,Bordeaux-style Red Blend
125503,Chardonnay
66021,Merlot
23548,Malbec
118508,Pinot Noir
71643,Sparkling Blend
40748,Sauvignon Blanc
7143,Cabernet Sauvignon
102365,Viognier
84123,Red Blend
128915,Zinfandel
49015,Tempranillo
62498,Cabernet Sauvignon
115615,Red Blend
67471,Malbec
124758,White Blend
75475,Red Blend
108339,Chardonnay
43235,Red Blend
21879,Red Blend
20238,Syrah
72410,Bordeaux-style Red Blend
59281,Merlot
77009,Red Blend
126162,Rosé
93739,Merlot
79233,Chardonnay
50455,Cabernet Sauvignon
34550,Riesling
42547,Rosé
26099,Syrah
117611,Sangiovese
7124,White Blend
86319,Red Blend
25567,Barbera
79836,Grillo
118420,Cabernet Franc
15378,Merlot
101996,Syrah
115143,Cabernet Sauvignon
4864,Pinot Noir
100731,Cabernet Sauvignon
62280,Pinot Noir
122736,Bordeaux-style Red Blend
79528,Champagne Blend
54822,Malbec
123029,Cabernet Sauvignon
31813,Pinot Noir
78971,Syrah
110205,Dolcetto
17679,Garnacha
10512,Rosé
45625,Merlot
114512,Shiraz
123203,Chardonnay
73711,Gamay
113690,Red Blend
115869,Sangiovese
129728,Cabernet Sauvignon
112230,Cabernet Sauvignon
56783,Portuguese Red
118805,Pinot Gris
98212,Syrah
115513,Petite Sirah
48356,Riesling
116460,Syrah
77441,White Blend
126325,Cabernet Sauvignon
87556,Sauvignon Blanc
76428,Garnacha
47165,Cabernet Sauvignon
22692,Red Blend
11900,Sauvignon Blanc
86480,Port
64520,Rosé
121008,Gewürztraminer
116556,Tempranillo
103140,Pinot Noir
116867,Bordeaux-style Red Blend
103503,Chardonnay
72207,Portuguese White
5712,Cabernet Sauvignon
78066,Garnacha
107788,Viognier
103279,Pinot Noir
47547,Bordeaux-style White Blend
43227,White Blend
1119,White Blend
91835,Sauvignon Blanc
72265,Champagne Blend
57855,Portuguese Red
92107,Cabernet Sauvignon
88884,Cabernet Sauvignon
106022,Merlot
74311,Rhône-style Red Blend
73763,Red Blend
70750,Cabernet Sauvignon
81789,Red Blend
39147,Gamay
20401,Red Blend
2962,Verdejo
108321,Pinot Noir
31682,Syrah
41686,Sauvignon Blanc
39100,Gewürztraminer
95827,Chardonnay
48011,Rosé
7692,Sauvignon Blanc
21376,Grüner Veltliner
2946,Riesling
10985,Nebbiolo
101988,Malbec
102596,Malbec
8395,Red Blend
102142,Nerello Mascalese
102691,Sangiovese
71336,Nebbiolo
61116,Rosé
67465,Bordeaux-style Red Blend
92085,Montepulciano
93383,Cabernet Sauvignon
86619,Chardonnay
50237,Red Blend
28773,Grenache Blanc
129649,Cabernet Sauvignon
99237,Malbec
121219,Pinot Noir
75276,Red Blend
128558,Syrah
65045,Zinfandel
110444,Rosé
59329,Bordeaux-style Red Blend
87722,Port
97389,Pinot Noir
5179,Pinot Noir
55710,Pinot Noir
56038,Chardonnay
43169,Chardonnay
107444,Zinfandel
122709,Syrah
42432,Vernaccia
125379,Cabernet Sauvignon
113426,Malbec
100313,Carmenère
14429,Malbec
84168,Glera
14229,White Blend
16051,Bordeaux-style Red Blend
26898,Pinot Noir
39603,Pinot Noir
75278,Syrah
29552,Chardonnay
33301,Rosé
59751,Barbera
102145,Zinfandel
109512,Nebbiolo
46121,Riesling
65194,Merlot
8866,Pinot Noir
114518,Pinot Noir
45026,Malbec
121647,Sauvignon Blanc
86862,Cabernet Sauvignon
81897,Bordeaux-style Red Blend
121892,Cabernet Sauvignon
100177,Portuguese White
48581,Malbec
96452,Sauvignon Blanc
95749,Red Blend
66253,Pinot Noir
58926,Sauvignon Blanc
122539,Riesling
104260,Riesling
69448,Bordeaux-style Red Blend
26659,Bordeaux-style Red Blend
31588,Nebbiolo
22481,Chardonnay
10771,Chardonnay
98800,Pinot Noir
12241,Bordeaux-style Red Blend
40436,Red Blend
50502,Zinfandel
119886,Grenache
113052,Sauvignon Blanc
28257,Rhône-style Red Blend
87679,Portuguese Red
41975,Pinot Noir
97009,White Blend
6622,Portuguese White
16845,Sauvignon Blanc
104600,Bordeaux-style Red Blend
117759,Sangiovese
37644,Red Blend
72286,Malbec
60976,Chardonnay
42013,Pinot Noir
117057,Red Blend
74894,Syrah
88553,White Blend
79420,Pinot Noir
63561,Pinot Noir
129760,Fiano
69521,Red Blend
26508,Garnacha
56880,Rosé
122130,Chardonnay
114300,Syrah
29622,Syrah
67913,Red Blend
117041,Pinot Noir
111702,Pinot Noir
29364,Moscato
9739,Pinot Noir
115445,Gewürztraminer
72657,Chardonnay
39319,Chardonnay
13922,Pinot Noir
49699,Chardonnay
111696,Pinot Noir
69408,Sauvignon Blanc
37850,Tempranillo
44713,Pinot Nero
107246,Red Blend
112113,Zinfandel
123972,Chardonnay
107527,Pinot Noir
31499,Sangiovese
97861,Pinot Noir
96237,Gamay
48179,Chardonnay
82928,Nebbiolo
54503,Grenache Blanc
106896,Gewürztraminer
29502,Verdicchio
63062,Sangiovese
45890,Pinot Noir
59217,Pinot Blanc
15000,Melon
73393,Riesling
17022,Red Blend
79470,Rosé
95336,Riesling
18597,Portuguese Red
50644,Pinot Blanc
43056,Bordeaux-style White Blend
73081,Tempranillo
79255,Chardonnay
18685,Rosé
7806,Merlot
14811,Rhône-style Red Blend
39143,Sparkling Blend
117699,Chardonnay
15367,Bordeaux-style White Blend
113012,White Blend
47796,Bordeaux-style Red Blend
36970,Riesling
66424,Nebbiolo
105536,Cabernet Sauvignon
30961,Cabernet Sauvignon
32044,Pinot Noir
66751,Zinfandel
106588,Moscato
52426,Riesling
85056,Pinot Noir
117200,Pinotage
64885,Port
25409,Red Blend
104735,Tempranillo
103925,Riesling
106558,Petite Sirah
19854,Bordeaux-style Red Blend
125644,Prosecco
23869,Syrah
107181,Sangiovese Grosso
97314,Nebbiolo
98189,Chardonnay
121015,Pinot Noir
42564,Port
31564,Pinot Noir
68375,Chardonnay
21032,Cabernet Sauvignon
95272,Syrah
86756,Syrah
75240,Rhône-style Red Blend
117121,Riesling
39993,Sauvignon Blanc
101466,Pinot Noir
19380,Bordeaux-style Red Blend
2593,Merlot
120920,Pinot Noir
2332,Chenin Blanc
96973,Chardonnay
126890,Cabernet Sauvignon
75547,Pinot Noir
6502,Syrah
88569,Nebbiolo
119035,Red Blend
47380,Sangiovese
123377,Rosé
63204,Pinot Noir
113633,Sparkling Blend
75647,Mourvèdre
51061,Red Blend
113417,Malbec
42536,Grüner Veltliner
64560,Merlot
105578,Bordeaux-style Red Blend
15260,Portuguese Red
8712,Red Blend
45908,Chardonnay
8722,Red Blend
8665,Malbec
59703,Shiraz
67973,Pinot Blanc
111234,Sauvignon Blanc
62024,Pinot Gris
104593,Melon
14726,Bordeaux-style Red Blend
1497,Pinot Grigio
87998,Chenin Blanc
61829,Champagne Blend
7455,Nebbiolo
110061,Sparkling Blend
44499,Merlot
8151,Sparkling Blend
85061,Red Blend
85965,Pinot Noir
84232,Chardonnay
95648,Malbec
19647,Tempranillo
31623,Sangiovese
73010,Touriga Nacional
115469,Pinot Gris
9826,Chardonnay
21940,Cabernet Sauvignon
119577,Pinot Grigio
53676,Sauvignon Blanc
56403,Cabernet Sauvignon
25700,Red Blend
11982,Portuguese Red
55304,Portuguese Red
108326,Gamay
64542,Pinot Noir
56704,Bordeaux-style Red Blend
74614,Grüner Veltliner
92580,Chardonnay
48855,Red Blend
69813,Meritage
114831,Cabernet Sauvignon
53731,Cabernet Sauvignon
72486,Zinfandel
51177,Cabernet Sauvignon
21931,Portuguese Red
94160,Riesling
112613,Cabernet Sauvignon
45734,Bordeaux-style Red Blend
65529,Pinot Noir
55774,Verdicchio
97972,Pinot Bianco
27485,Rosé
96421,Chardonnay
114044,Viognier
94933,Portuguese Red
38335,Chardonnay
90801,Red Blend
39331,Turbiana
31431,Champagne Blend
107717,Malbec
23748,Zinfandel
128551,Riesling
114824,Riesling
70386,Syrah
71438,Cabernet Franc
104704,Cabernet Sauvignon
78347,Champagne Blend
52295,Glera
120294,Zinfandel
21772,Zinfandel
105305,Merlot
22365,Chardonnay
126153,Sauvignon Blanc
115868,Red Blend
69417,Cabernet Sauvignon
105100,White Blend
128623,Red Blend
110510,Gewürztraminer
44622,Sauvignon Blanc
78291,Tempranillo
58641,Nero d'Avola
120053,Cabernet Sauvignon
76756,Pinot Noir
49697,Portuguese White
21475,Red Blend
72152,Chardonnay
65200,Nebbiolo
97090,Pinot Grigio
91856,Pinot Noir
91686,Pinot Noir
58842,White Blend
30503,Red Blend
91262,Cabernet Franc
85087,Red Blend
72170,Sangiovese
26115,Malbec
71609,Sparkling Blend
74524,Sauvignon Blanc
56715,Petite Sirah
23792,Champagne Blend
52815,Syrah
116128,Shiraz
123582,Pinot Noir
35117,Chardonnay
53915,Merlot
22877,Chardonnay
75676,Chardonnay
47850,Nebbiolo
91208,Chardonnay
121960,Red Blend
44105,Pinot Grigio
9815,Pinot Noir
103050,Pinot Bianco
22358,Pinot Noir
98842,Bordeaux-style Red Blend
119553,Roussanne
69844,Rosé
43454,Syrah
77252,Rosé
116065,Pinot Noir
40090,Pinot Gris
41687,Red Blend
52460,Sangiovese Grosso
30287,Cabernet Sauvignon
58325,Petite Sirah
83061,Zinfandel
64907,Sangiovese
16489,Malbec
106636,Cabernet Sauvignon
20083,Red Blend
119400,Nero d'Avola
53766,Pinot Noir
38697,Grenache
103095,Garnacha
66290,Bordeaux-style Red Blend
28387,Pinot Gris
55310,Moscato
16808,Pinot Noir
114113,Chardonnay
79495,Cabernet Sauvignon
20547,Cabernet Sauvignon
115676,Syrah
12414,Chardonnay
70695,Grenache
76702,Riesling
90766,Rhône-style Red Blend
96953,Chardonnay
62113,Gamay
111077,Tempranillo Blend
58107,Pinot Noir
10375,Grüner Veltliner
56102,Pinot Noir
115775,Merlot
127960,Nero d'Avola
114433,Pinot Noir
63141,Melon
56737,Grüner Veltliner
103515,Cabernet Sauvignon
26550,Petite Sirah
52169,Nebbiolo
16538,Shiraz
11273,Rosé
68062,Nebbiolo
80047,Sangiovese
86859,Malbec
76169,Cabernet Sauvignon
20176,Portuguese Red
92455,Chardonnay
615,Malbec
123018,Chardonnay
80318,Petit Verdot
118687,Merlot
123540,Sauvignon Blanc
82255,Sparkling Blend
20560,Red Blend
63515,Mourvèdre
10486,Pinot Noir
4599,Viognier
44145,Cabernet Sauvignon
84298,Carmenère
97492,Malbec
111168,Chardonnay
43429,Nerello Mascalese
10251,Pinot Noir
78374,Chardonnay
92699,Pinot Gris
53700,Petit Verdot
18254,Pinot Noir
20727,Riesling
18545,Sangiovese
14889,Syrah
92501,Rhône-style Red Blend
86147,Tempranillo
88627,Barbera
117714,Portuguese White
48611,Rosé
9831,Cabernet Sauvignon
53776,Sangiovese
113222,Cabernet Sauvignon
67520,Zinfandel
70224,Riesling
83056,Cabernet Sauvignon
84657,Cabernet Sauvignon
69255,Gewürztraminer
79087,Chardonnay
37814,Cabernet Sauvignon
98395,Grüner Veltliner
39772,Chardonnay
126627,Red Blend
61226,Primitivo
95033,Riesling
100052,Pinot Noir
42275,Riesling
118372,Chardonnay
35202,Pinot Noir
89171,Pinot Noir
118400,Portuguese Red
103590,Rosé
2086,Pinot Noir
69394,Nerello Mascalese
123354,Red Blend
23697,Merlot
67484,Mencía
111020,Bordeaux-style Red Blend
47203,Red Blend
120656,Pinot Gris
73917,Mourvèdre
62998,Sauvignon Blanc
38749,Chardonnay
101169,Sauvignon Blanc
10589,Chardonnay
39520,Cabernet Sauvignon
102360,Bordeaux-style Red Blend
18296,Red Blend
115562,Cabernet Sauvignon
113558,Zinfandel
55387,Portuguese Red
94742,Cabernet Sauvignon
90224,Cabernet Sauvignon
16834,Pinot Gris
112587,Prosecco
83293,Rhône-style Red Blend
87350,Bordeaux-style Red Blend
57390,White Blend
97614,Riesling
18868,Pinot Noir
47737,Pinot Grigio
53316,Chardonnay
82881,Cabernet Sauvignon
100550,Pinot Noir
77855,Chardonnay
77154,Moscato
36846,White Blend
100119,Portuguese Red
83660,Pinot Noir
38030,Cabernet Franc
45588,Riesling
22198,Cabernet Sauvignon
26651,Cabernet Sauvignon
51147,Sauvignon Blanc
39941,Cabernet Sauvignon
34791,Monastrell
23308,Melon
106542,Rhône-style Red Blend
5087,Sauvignon Blanc
38804,Carmenère
79476,Cabernet Sauvignon
120886,Nebbiolo
114093,White Blend
48872,Rosé
123152,Barbera
63458,Pinot Gris
8373,Vernaccia
102430,Champagne Blend
107587,Pinot Grigio
38520,Pinot Noir
53786,Malbec
85477,Pinot Noir
83534,Rosé
102673,Pinot Noir
24601,Sauvignon Blanc
16056,Bordeaux-style Red Blend
23137,Red Blend
4125,Sparkling Blend
96516,Portuguese White
111769,Bordeaux-style Red Blend
78713,Mencía
91108,Chardonnay
120433,Syrah
75612,Malbec
40460,Chardonnay
105358,Merlot
99348,Port
77102,Sangiovese
128245,Tempranillo
32576,Chardonnay
107602,Sauvignon Blanc
123658,Cabernet Sauvignon
34209,Pinot Noir
81703,Red Blend
30821,Nebbiolo
31117,Bordeaux-style Red Blend
34273,Sangiovese
73809,Pinot Noir
102181,Syrah
129850,Aglianico
117047,Red Blend
69355,Pinot Grigio
14689,Syrah
116252,Bordeaux-style Red Blend
103182,Bordeaux-style Red Blend
100301,Chardonnay
71868,Bordeaux-style White Blend
31697,Portuguese Red
62875,Garganega
38069,Riesling
111279,Tempranillo
5246,Sauvignon Blanc
50783,Pinot Noir
77219,Chardonnay
104451,Pinot Noir
119786,Malbec
55965,Shiraz
98118,Pinot Gris
9765,Malbec
10175,Syrah
105262,Zinfandel
26562,Syrah
46036,Sauvignon Blanc
44497,Verdicchio
86272,Bordeaux-style Red Blend
96747,Nebbiolo
34799,Zinfandel
77571,Cabernet Sauvignon
38745,Riesling
54669,Syrah
68196,White Blend
104680,Pinot Noir
107135,Syrah
122087,Aglianico
25073,Bordeaux-style Red Blend
2118,Red Blend
108714,Chardonnay
116488,Riesling
104227,Chardonnay
71617,Pinot Noir
73554,Pinot Noir
20265,Sauvignon Blanc
28659,Portuguese White
66451,Pinot Noir
68858,Sauvignon Blanc
15453,Chardonnay
115219,Pinot Nero
60275,Riesling
18585,Pinot Noir
91037,Pinot Noir
53965,Gewürztraminer
44456,Viognier
40490,Petite Sirah
8601,Sauvignon Blanc
125756,Syrah
73247,Portuguese Red
70842,Nebbiolo
37280,Viognier
71026,Bordeaux-style White Blend
128110,Garnacha
66755,Pinot Grigio
109268,White Blend
129147,Riesling
17068,Pinot Grigio
97638,Portuguese Red
55167,Chardonnay
60772,Red Blend
65762,Red Blend
36837,Champagne Blend
34497,Chardonnay
89465,Pinot Noir
55379,Nebbiolo
37872,Rhône-style Red Blend
38388,Bordeaux-style Red Blend
78901,Sauvignon Blanc
34605,Nebbiolo
117510,Chardonnay
95955,Zweigelt
121885,Cabernet Sauvignon
91996,Red Blend
25866,Sparkling Blend
43907,Rosé
98192,Red Blend
15805,Chardonnay
42563,Cabernet Sauvignon
62756,Sparkling Blend
102290,Cabernet Sauvignon
9170,Riesling
4250,Cabernet Sauvignon
67019,Cabernet Sauvignon
121149,Sauvignon Blanc
75396,Albariño
108901,Glera
41573,Tempranillo
42902,Shiraz
5898,Zinfandel
21891,Fiano
10172,Malbec
114829,Sangiovese
110640,Pinot Noir
59345,Cabernet Sauvignon
93260,G-S-M
80751,Riesling
94350,Cabernet Sauvignon
21671,Cabernet Sauvignon
108385,Cabernet Sauvignon
71822,Malbec
11634,Viognier
86406,Pinot Noir
36606,Rosé
27925,Bonarda
104380,Syrah
26352,Sangiovese
117129,Chardonnay
47111,Nebbiolo
99344,Bordeaux-style Red Blend
36119,Sauvignon Blanc
119134,Albariño
129796,Pinotage
40148,Zinfandel
26577,Chardonnay
7218,Nebbiolo
92173,Barbera
91909,Pinot Noir
88407,Chardonnay
127183,Chardonnay
38850,Pinot Noir
115429,Riesling
31997,Chardonnay
75530,Champagne Blend
75383,Pinot Noir
56700,Bordeaux-style Red Blend
88348,Gewürztraminer
26355,Mourvèdre
77643,Sauvignon Blanc
69156,Chardonnay
6345,Zinfandel
77426,Red Blend
52302,Zinfandel
22707,Cabernet Sauvignon
125523,Rosé
20673,Chardonnay
92985,Gewürztraminer
17055,Verdejo
110503,Pinot Gris
124707,Pinot Noir
17436,Bordeaux-style Red Blend
20317,Sauvignon Blanc
75196,Petit Verdot
45104,Cabernet Franc
11909,Tempranillo Blend
68527,Petit Verdot
24016,Red Blend
113849,Portuguese White
80223,Pinot Noir
46433,Bordeaux-style Red Blend
94564,Chardonnay
107732,Riesling
32162,Red Blend
53987,Sauvignon Blanc
73325,Petite Sirah
9561,Syrah
121084,Chardonnay
50126,Grüner Veltliner
68709,Bordeaux-style Red Blend
32298,Cabernet Sauvignon
104317,Chardonnay
128229,Red Blend
53898,Chardonnay
115699,Sauvignon Blanc
83981,Sauvignon Blanc
37357,Chardonnay
125440,Shiraz
10562,Bordeaux-style Red Blend
97318,Nebbiolo
38754,Malbec
45202,White Blend
46206,Pinot Noir
52802,G-S-M
79310,Portuguese White
123712,Tempranillo Blend
7296,Sauvignon Blanc
6470,Chardonnay
12657,Chardonnay
16652,Chardonnay
52025,Sangiovese
30921,Tempranillo
38091,Bordeaux-style Red Blend
70872,Grüner Veltliner
80770,Bordeaux-style Red Blend
12973,White Blend
45831,Pinot Gris
94402,Chardonnay
59567,Riesling
44645,Bordeaux-style Red Blend
105506,Aglianico
51458,Cabernet Sauvignon
62010,White Blend
51724,Pinot Noir
12891,Red Blend
47595,Cabernet Sauvignon
108783,Riesling
74962,Red Blend
53192,Pinot Noir
55059,Sauvignon Blanc
116287,Pinot Noir
108130,Red Blend
76477,Red Blend
69586,Chardonnay
52338,Nero d'Avola
109187,Grüner Veltliner
93046,Barbera
111155,Red Blend
13295,Red Blend
15321,Alvarinho
104527,Bordeaux-style Red Blend
110180,Red Blend
77963,Riesling
127509,Cabernet Sauvignon
126116,Sparkling Blend
23000,Malbec
29339,Cabernet Sauvignon
28015,Pinot Noir
37969,Red Blend
85798,Blaufränkisch
113040,Chardonnay
106282,Bordeaux-style Red Blend
115375,Rosé
108624,Pinot Noir
129303,Red Blend
121873,Tempranillo
53783,Pinot Noir
38363,Pinot Noir
53645,Pinotage
117104,Chardonnay
74827,Red Blend
124448,Syrah
31622,Riesling
96478,Red Blend
104237,Tempranillo
79054,Shiraz
12819,Rosé
72032,Cabernet Sauvignon
123307,Riesling
38935,Sauvignon Blanc
42837,Pinot Noir
104523,Bordeaux-style Red Blend
15773,Carmenère
47190,Rhône-style White Blend
9039,Sauvignon Blanc
82541,Chardonnay
66211,Bordeaux-style Red Blend
32115,Champagne Blend
77582,Syrah
42271,Monastrell
60625,Pinot Noir
80282,Sauvignon Blanc
10705,Sparkling Blend
124730,Portuguese Red
31975,Cabernet Sauvignon
84870,Red Blend
51806,Sparkling Blend
117250,Merlot
104174,Sauvignon Blanc
33836,Chardonnay
113669,Pinot Noir
3316,Red Blend
129282,Riesling
42142,Cabernet Franc
117049,Cabernet Sauvignon
102929,Sauvignon Blanc
8443,Syrah
32658,Syrah
39901,Sparkling Blend
121039,Syrah
121384,Portuguese Red
57943,"Corvina, Rondinella, Molinara"
65062,Merlot
73613,Riesling
70496,Riesling
109240,Chardonnay
79175,Chardonnay
83449,Portuguese Red
50829,Riesling
9585,Verdejo
50918,White Blend
96769,Chardonnay
85390,Rosé
90010,Champagne Blend
65481,Malbec
24234,Sparkling Blend
113605,Glera
115807,Malbec
103115,Cabernet Sauvignon
24899,Merlot
92467,Riesling
52080,Pinot Noir
107326,Syrah
71147,Champagne Blend
111851,Sangiovese
38668,Pinot Gris
12298,Nebbiolo
45811,Merlot
46729,Pinot Nero
110396,Malbec
34798,Cabernet Sauvignon
38516,Cabernet Franc
21780,Petite Sirah
68533,Rhône-style White Blend
110326,Bordeaux-style Red Blend
111849,Pinot Noir
19906,Chardonnay
105067,Chardonnay
36987,Sangiovese
79282,Portuguese Red
59870,Sparkling Blend
78242,Shiraz
123159,Chardonnay
128191,Bordeaux-style Red Blend
89946,Bordeaux-style Red Blend
78027,Pinot Noir
101337,Gewürztraminer
58742,Pinot Noir
39432,Bordeaux-style Red Blend
23305,Chardonnay
74015,Nebbiolo
45722,Syrah
75117,Chardonnay
67392,Riesling
30926,Pinot Noir
37799,Red Blend
104893,Riesling
43641,Riesling
97246,Sangiovese Grosso
108937,Sauvignon Blanc
121976,Viognier
104546,Cabernet Sauvignon
80151,Zinfandel
108301,Melon
15360,Pinot Noir
100672,Champagne Blend
40849,Sparkling Blend
20965,Cabernet Sauvignon
33150,Cabernet Sauvignon-Syrah
511,Champagne Blend
127333,Pinot Gris
55711,Barbera
33232,Malbec
7481,Viognier
63592,Chardonnay
128665,Sangiovese
72267,Chardonnay
87919,Bordeaux-style Red Blend
11229,Chardonnay
88013,Red Blend
81169,Pinot Grigio
78805,"Corvina, Rondinella, Molinara"
63409,Pinot Noir
58739,Meritage
74260,Grenache
56817,Bordeaux-style Red Blend
118342,Gewürztraminer
148,Riesling
127268,Syrah
111896,Red Blend
280,Grüner Veltliner
87666,Chardonnay
114421,Bordeaux-style Red Blend
116834,Bordeaux-style Red Blend
64150,Chardonnay
29135,Moscato
85841,Bordeaux-style Red Blend
54742,Portuguese White
58508,Nebbiolo
49153,Riesling
109161,Red Blend
42784,Chardonnay
104431,Pinot Noir
95407,White Blend
104009,Glera
125034,Red Blend
21716,Pinot Noir
97019,Red Blend
35780,Zinfandel
53862,Red Blend
58111,Cabernet Sauvignon
43966,Tempranillo
94305,Chardonnay
115479,Sangiovese
28011,Moscato
35396,Tinta de Toro
57673,Rosé
109149,Pinot Noir
96890,Bordeaux-style Red Blend
124398,Tempranillo
124915,Gewürztraminer
74340,Pinot Noir
86477,Syrah
77386,Aglianico
26145,Pinot Noir
69385,Chardonnay
35242,Red Blend
48053,Glera
117173,Rosé
96069,Rhône-style Red Blend
53010,Chardonnay
64173,Nebbiolo
27675,Merlot
49417,Cabernet Franc
96111,Garnacha
113314,Red Blend
33644,Cabernet Sauvignon
29546,Rosé
81879,Viognier
51965,Champagne Blend
110229,Cabernet Sauvignon
50915,Chardonnay
110026,Bordeaux-style White Blend
117852,Red Blend
26198,Portuguese Red
121660,Pinot Noir
125554,Montepulciano
35773,Bordeaux-style Red Blend
6802,Cabernet Sauvignon
4477,Chardonnay
50281,Merlot
84166,Riesling
14898,Rosé
42353,Pinot Noir
344,Chardonnay
78786,Malbec
57440,Chardonnay
51795,Grenache
808,Verdicchio
25572,White Blend
74983,Nebbiolo
88604,Riesling
89527,Verdejo
53130,Tempranillo
18020,Zinfandel
93882,Petit Verdot
24243,Riesling
118772,Riesling
40783,Bordeaux-style Red Blend
96616,Zinfandel
33764,Albariño
8222,Rosé
87347,Petit Verdot
124632,Viognier
80956,Bordeaux-style Red Blend
28913,Tempranillo Blend
74194,Riesling
102629,Shiraz
10859,Zinfandel
26062,Bordeaux-style Red Blend
32593,Pinot Grigio
50316,Chardonnay
16174,Tempranillo
79156,Rosé
10747,Cabernet Sauvignon
90990,Pinot Noir
77010,Tempranillo
85237,Sparkling Blend
773,Portuguese Red
51555,Pinot Noir
81,Albariño
77942,Syrah
109845,Pinot Noir
7943,Pinot Nero
95583,Carmenère
76001,Red Blend
27198,Chardonnay
94267,Riesling
18710,Chardonnay
42957,Riesling
15997,Malbec
43142,Chardonnay
92377,Monastrell
42822,Red Blend
69111,Chardonnay
3803,Riesling
119788,Nebbiolo
30218,Shiraz
111078,Chardonnay
77558,Rosé
99377,Cabernet Sauvignon
87408,Nebbiolo
77311,Cabernet Sauvignon
84332,Rosé
83239,Pinot Noir
123059,Chardonnay
25208,Sangiovese Grosso
40224,Chardonnay
117518,Syrah
123047,Red Blend
2432,Malbec
43039,Pinot Grigio
75132,Red Blend
86910,Chardonnay
58152,Pinot Noir
39853,Sparkling Blend
98623,Cabernet Franc
68360,Riesling
110012,Syrah
81794,Pinot Noir
121422,Meritage
45626,Nerello Mascalese
6322,Red Blend
496,Verdejo
12358,Pinot Noir
31174,Cabernet Franc
15978,Red Blend
21063,Pinot Noir
41807,Rosé
29926,Portuguese Red
80213,Portuguese White
52887,Pinot Noir
70689,Nebbiolo
39002,Portuguese Red
76864,Nebbiolo
9315,Cabernet Sauvignon
69370,Turbiana
60998,Cabernet Sauvignon
110056,Chardonnay
96637,Pinot Noir
15462,Cabernet Sauvignon
69073,Zinfandel
13009,Riesling
105857,Syrah
45660,Cabernet Sauvignon
57995,Cabernet Sauvignon
50754,Montepulciano
12010,Pinot Noir
105965,Red Blend
45397,Chardonnay
42635,Bordeaux-style Red Blend
11389,Bordeaux-style Red Blend
47772,Red Blend
127488,Riesling
25764,Riesling
118154,Sauvignon Blanc
115904,Nebbiolo
690,Red Blend
1385,Riesling
3414,Pinot Grigio
65719,Rhône-style Red Blend
127396,Pinot Noir
123130,Merlot
115144,Cabernet Franc
220,Chardonnay
33661,Bordeaux-style Red Blend
9931,Pinot Noir
20268,Gewürztraminer
126934,White Blend
39462,Chardonnay
103191,Bordeaux-style Red Blend
49642,Riesling
109479,Champagne Blend
91231,Merlot
81698,Sauvignon Blanc
46653,Red Blend
42493,Sparkling Blend
114247,Pinot Noir
111454,Rosé
106283,Bordeaux-style Red Blend
113725,Bordeaux-style Red Blend
58583,Syrah
108563,Cabernet Sauvignon
36374,Portuguese Red
93579,Rosé
125833,Nebbiolo
59930,Red Blend
117525,Gewürztraminer
122944,Bordeaux-style Red Blend
41211,Bonarda
5851,Portuguese Red
34268,Riesling
128958,Champagne Blend
25733,Bordeaux-style White Blend
116006,Chardonnay
108747,Red Blend
27971,Cabernet Sauvignon
88736,Rosé
31918,Sangiovese Grosso
46802,Malbec
69861,Pinot Grigio
41274,Syrah
110272,Rosé
19883,Tempranillo
109773,Cabernet Franc
95026,Tempranillo
103116,Pinot Noir
69736,Red Blend
52129,Malbec
101816,Sauvignon Blanc
93002,Cabernet Sauvignon
10670,Primitivo
99546,Pinot Noir
36050,Merlot
1474,Red Blend
99469,Red Blend
16581,Rhône-style White Blend
67258,Rosé
68037,Portuguese Red
124374,Nebbiolo
68488,Syrah
68475,Bordeaux-style Red Blend
29770,Cabernet Sauvignon
54332,Cabernet Sauvignon
3835,Sangiovese
90752,Zinfandel
57206,Gamay
6444,Bordeaux-style Red Blend
553,Malbec
113394,Zinfandel
98002,Tempranillo
7726,Merlot
129842,Primitivo
20916,Sangiovese Grosso
87208,Cabernet Sauvignon
61523,Red Blend
120908,Sparkling Blend
43742,Chardonnay
70830,Sparkling Blend
34368,Red Blend
61591,Pinot Noir
96597,Rhône-style Red Blend
16602,Red Blend
31822,Bordeaux-style White Blend
70082,Cabernet Sauvignon
60885,Zinfandel
129751,Verdejo
20877,Sparkling Blend
68896,Chardonnay
6985,Chardonnay
126658,Chardonnay
99784,Chardonnay
32054,Cabernet Sauvignon
33772,Sauvignon Blanc
46941,Bordeaux-style Red Blend
24339,Chardonnay
32998,White Blend
37443,Fiano
98768,Cabernet Sauvignon
124702,Pinot Noir
93605,Chardonnay
104617,Chardonnay
108588,Sauvignon Blanc
53890,Sauvignon Blanc
53356,Malbec
68079,Portuguese Red
33475,Red Blend
49289,Chardonnay
96269,Pinot Noir
114179,Nerello Mascalese
60258,Riesling
123079,Pinot Noir
129299,Cabernet Sauvignon
25076,Pinot Noir
94876,Rosé
75514,Portuguese Red
48591,Grüner Veltliner
83968,Chardonnay
81992,Chardonnay
